Time (s), Cell Name, Value
1.548791, C00, 8.496914
683.316597, C00, 9.073957
741.92085, C00, 9.547355
809.967732, C00, 10.05406
10.791576, C01, 6.140173
108.815058, C01, 6.479661
310.707459, C01, 5.61368
430.913625, C01, 5.553875
667.628843, C01, 6.654403
669.077712, C01, 7.04918
855.582125, C01, 6.988603
861.927172, C01, 6.261253
897.999014, C01, 6.157167
898.948273, C01, 6.103948
899.3479610000001, C01, 7.359047
911.938133, C01, 9.22977
230.81982, C02, 7.719079
2.697894, C03, 5.587425
135.494232, C03, 4.393921
136.493452, C03, 5.052036
137.792438, C03, 4.817403
145.936081, C03, 4.324468
146.735457, C03, 4.297275
154.679256, C03, 4.371609
157.277228, C03, 5.107079
164.8713, C03, 4.464699
165.720637, C03, 5.734112
232.518494, C03, 5.23358
248.755819, C03, 5.006652
276.78394, C03, 4.502765
332.090767, C03, 5.443839
336.187569, C03, 4.705453
352.624738, C03, 4.521908
410.629459, C03, 4.541709
427.516277, C03, 4.372926
432.712221, C03, 4.614489
478.976107, C03, 4.26156
482.373455, C03, 4.411109
482.573299, C03, 4.602031
491.166591, C03, 4.431499
516.7965840000001, C03, 4.588398
518.545219, C03, 4.496584
537.930087, C03, 5.191812
546.2735740000001, C03, 4.279151
591.03863, C03, 5.327585
645.7459250000001, C03, 4.271574
647.694404, C03, 4.283828
664.98091, C03, 4.440297
672.9746699999999, C03, 4.37053
674.723305, C03, 5.186445
677.571082, C03, 4.351555
678.420419, C03, 4.366045
683.216675, C03, 4.627317
711.3447179999999, C03, 6.703819
755.210476, C03, 5.362317
762.704626, C03, 6.796062
783.038753, C03, 4.744935
783.688246, C03, 4.421299
793.280758, C03, 4.379965
803.222997, C03, 5.313783
803.722607, C03, 4.731448
855.931852, C03, 4.560529
856.081735, C03, 5.009098
866.1238959999999, C03, 4.895104
867.572765, C03, 4.450141
950.008415, C03, 4.99825
952.506465, C03, 4.298366
59.603473, C04, 5.955797
263.744119, C04, 5.761628
275.085266, C04, 5.69994
316.25313, C04, 6.178997
352.774621, C04, 5.59675
354.773061, C04, 5.530889
438.507697, C04, 6.805445
520.693542, C04, 5.512415
605.9769690000001, C04, 5.751415
625.861447, C04, 5.770358
673.624163, C04, 7.37547
731.129274, C04, 6.413009
822.757748, C04, 5.453531
855.032554, C04, 7.645369
855.931852, C04, 6.276135
898.4986239999999, C04, 5.483117
899.148117, C04, 5.39812
963.397963, C04, 5.545027
8.992979999999999, C05, 5.554034
46.46373, C05, 5.842572
67.797077, C05, 5.89664
100.321688, C05, 5.894818
146.535613, C05, 5.570815
148.633975, C05, 5.856151
167.469272, C05, 5.693293
263.744119, C05, 6.638027
323.097787, C05, 6.514603
343.381953, C05, 6.127683
375.057227, C05, 6.369589
407.581838, C05, 5.919415
414.826183, C05, 5.951161
456.293813, C05, 6.440624
470.582659, C05, 6.24344
478.476497, C05, 7.817595
627.610082, C05, 5.973132
634.00509, C05, 5.86564
639.5008, C05, 5.634793
647.544521, C05, 6.234488
654.439139, C05, 5.841242
667.528921, C05, 6.948646
668.628063, C05, 6.085253
669.3275169999999, C05, 5.564891
669.877088, C05, 7.046556
672.175294, C05, 5.780274
732.827948, C05, 6.004732
830.35182, C05, 7.43388
869.571205, C05, 5.550841
895.850691, C05, 6.183791
903.0950360000001, C05, 6.272242
917.184038, C05, 6.255861
959.950654, C05, 7.059221
962.6985089999999, C05, 6.628886
2.897738, C06, 4.673938
22.282606, C06, 4.355186
25.380188, C06, 4.831686
31.275586, C06, 4.189139
32.224845, C06, 4.040509
40.718215, C06, 5.242242
51.809557, C06, 4.851606
61.402069, C06, 4.170572
62.251406, C06, 5.6849
63.000821, C06, 3.998285
72.69325499999999, C06, 4.521833
72.993021, C06, 4.311924
104.118724, C06, 4.871382
119.206946, C06, 4.075924
128.050042, C06, 4.20503
133.595713, C06, 4.232184
138.342009, C06, 4.011989
146.085964, C06, 4.44118
152.88066, C06, 4.057323
157.37715, C06, 4.202106
161.773718, C06, 4.447394
172.915021, C06, 4.103731
187.053984, C06, 4.06958
194.797939, C06, 5.049831
197.795599, C06, 5.050643
202.541894, C06, 4.131378
202.791699, C06, 4.691843
214.182807, C06, 4.491488
237.964243, C06, 4.203581
245.858081, C06, 4.293791
246.407652, C06, 4.048742
255.750359, C06, 4.42727
258.398292, C06, 4.255856
263.744119, C06, 4.982791
263.844041, C06, 4.762194
303.413153, C06, 4.113282
314.954144, C06, 4.253807
361.21803, C06, 4.505939
371.559957, C06, 4.220953
382.001806, C06, 4.826659
404.6841, C06, 4.516342
409.530317, C06, 4.751328
412.877704, C06, 3.981613
413.727041, C06, 4.48304
415.125949, C06, 4.772259
415.575598, C06, 4.791202
418.67318, C06, 6.299304
429.514717, C06, 5.918639
436.958906, C06, 4.177999
437.108789, C06, 4.630212
437.608399, C06, 5.029973
441.055708, C06, 4.059987
442.354694, C06, 6.024324
446.451496, C06, 4.066167
455.594359, C06, 4.160681
457.792643, C06, 4.140525
459.341434, C06, 6.352149
459.491317, C06, 4.570662
470.332854, C06, 4.201794
472.031528, C06, 4.623519
476.877745, C06, 4.19573
483.672441, C06, 4.57066
493.414836, C06, 4.440798
494.963627, C06, 4.056522
500.509298, C06, 5.161521
502.907426, C06, 4.411983
505.055749, C06, 4.301024
518.745062, C06, 6.301365
544.125251, C06, 5.125347
560.012849, C06, 4.250868
576.999589, C06, 4.526488
584.493739, C06, 5.892501
593.3368359999999, C06, 4.417691
595.085471, C06, 5.318746
604.428178, C06, 4.563831
619.216634, C06, 4.564787
620.51562, C06, 4.754739
621.215074, C06, 4.378014
631.00743, C06, 4.587042
640.00041, C06, 4.759053
646.895028, C06, 4.643012
649.043351, C06, 5.322641
652.740465, C06, 4.261119
668.278336, C06, 5.48648
669.227595, C06, 4.759966
669.727205, C06, 4.953364
672.075372, C06, 4.297524
672.924709, C06, 5.037942
722.835748, C06, 4.931967
726.382979, C06, 4.639129
726.982511, C06, 4.155997
729.180795, C06, 4.502861
734.4267, C06, 4.573788
735.975491, C06, 4.219735
746.467301, C06, 5.117929
747.766287, C06, 4.891906
768.749907, C06, 4.161634
805.621125, C06, 3.978528
