Time (s), Cell Name, Value
172.615255, C000, 19.99978
298.866702, C000, 14.65259
417.973726, C000, 16.14537
418.623219, C000, 22.89732
427.915965, C000, 16.49312
437.758282, C000, 18.66629
540.07841, C000, 17.84565
573.602241, C000, 23.52
574.601461, C000, 16.64819
575.6506419999999, C000, 17.58421
700.353298, C000, 17.37515
708.646824, C000, 16.8033
749.065273, C000, 23.45938
868.272219, C000, 29.65044
881.411962, C000, 24.16073
900.197298, C000, 16.15649
900.996674, C000, 18.53862
216.780779, C001, 16.50623
286.126647, C001, 17.48735
384.250051, C001, 26.59756
445.15251, C001, 17.52481
459.940966, C001, 17.10766
483.022948, C001, 21.61411
528.4874569999999, C001, 15.22052
549.720883, C001, 15.00123
719.738166, C001, 13.90004
765.602364, C001, 14.99587
771.747567, C001, 22.98193
807.119955, C001, 13.36831
813.564924, C001, 16.82713
899.697688, C001, 18.34717
0.849337, C002, 6.390392
1.99844, C002, 6.039623
68.29668700000001, C002, 5.188495
93.127304, C002, 5.567286
329.842522, C002, 5.811797
331.840962, C002, 5.191716
347.678599, C002, 5.377093
362.866743, C002, 5.227878
365.814442, C002, 6.278375
557.2150329999999, C002, 5.209352
650.392298, C002, 5.81848
738.873229, C002, 5.3061
761.855289, C002, 5.204191
771.7975280000001, C002, 5.369086
783.738207, C002, 5.757498
882.611026, C002, 5.231497
885.109076, C002, 6.716564
887.707048, C002, 5.918287
888.506424, C002, 6.181971
888.856151, C002, 5.86261
960.150498, C002, 5.90833
960.5501860000001, C002, 5.138887
965.046676, C002, 6.034697
973.24028, C002, 5.216204
364.065807, C003, 8.848528
798.926351, C003, 7.508746
885.608686, C003, 9.58293
965.096637, C003, 18.16243
966.595467, C003, 16.62342
967.8444919999999, C003, 13.62436
972.9904749999999, C003, 6.6579
30.825937, C005, 11.05403
386.048647, C005, 8.286144
386.348413, C005, 8.025287
529.436717, C005, 8.158674
530.136171, C005, 8.906172
565.05891, C005, 10.41206
730.979391, C005, 10.89583
762.854509, C005, 7.489221
863.775729, C005, 11.43542
864.225378, C005, 11.1074
966.74535, C005, 8.01147
904.3940219999999, C007, 6.896109
972.890553, C007, 7.391683
31.325547, C009, 5.737383
47.862638, C009, 5.362097
64.59957300000001, C009, 6.403718
213.033704, C009, 5.476353
347.628638, C009, 5.609243
523.041708, C009, 5.667995
653.389958, C009, 6.190574
656.537501, C009, 5.577679
716.94035, C009, 6.115698
749.065273, C009, 5.702702
2.048401, C010, 9.049387
21.583152, C010, 15.39088
173.714397, C010, 10.21691
298.966624, C010, 8.711606
420.122049, C010, 12.12367
439.007307, C010, 8.720612
557.614721, C010, 9.467714
566.05813, C010, 12.15851
575.151032, C010, 10.46791
576.699823, C010, 9.497315
700.802947, C010, 9.024508
708.746746, C010, 9.344436
740.42202, C010, 9.62203
762.354899, C010, 14.02301
763.703846, C010, 10.55584
869.571205, C010, 9.141358
75.990681, C011, 5.948186
107.066423, C011, 5.475238
132.89626, C011, 5.506375
143.937641, C011, 5.116497
175.36311, C011, 6.429164
203.591075, C011, 5.63308
290.073566, C011, 5.146613
365.764481, C011, 6.614087
455.794203, C011, 5.262088
457.043228, C011, 6.763194
651.6413230000001, C011, 6.28425
674.723305, C011, 5.095226
684.7654659999999, C011, 5.144494
790.083254, C011, 5.548818
819.160556, C011, 5.486407
885.408842, C011, 5.359319
894.601666, C011, 5.395167
965.046676, C011, 5.819344
966.845272, C011, 5.47166
62.301367, C012, 9.288445
394.641939, C012, 11.25154
540.128371, C012, 11.14132
609.224434, C013, 10.31248
827.953692, C013, 9.133658
663.282236, C014, 9.293968
815.263598, C014, 9.183173
0.049961, C015, 14.96564
68.546492, C015, 12.58418
72.44345, C015, 19.63701
325.296071, C015, 13.39265
362.267211, C015, 17.39283
452.696621, C015, 10.34318
453.396075, C015, 15.84691
701.852128, C015, 19.40859
845.390081, C015, 17.15693
925.77733, C015, 14.27882
25.430149, C016, 14.14791
25.879798, C016, 9.46944
26.379408, C016, 7.872829
60.103083, C016, 15.2264
60.852498, C016, 11.51388
62.151484, C016, 21.67407
79.68779499999999, C016, 13.81988
81.886079, C016, 13.65749
98.42317, C016, 12.84301
319.150868, C016, 10.58554
445.002627, C016, 13.92947
446.101769, C016, 8.241211
514.448416, C016, 8.908283
914.336261, C016, 7.136122
2.548011, C017, 27.34204
219.428712, C017, 19.02024
220.377971, C017, 17.33188
243.260109, C017, 18.63136
250.004844, C017, 17.49475
250.80422, C017, 25.0144
305.361632, C017, 20.56271
355.422554, C017, 19.54217
397.489716, C017, 19.67578
556.215813, C017, 26.68606
649.592922, C017, 17.5211
747.566443, C017, 22.49829
948.0099750000001, C017, 35.45667
101.370869, C018, 13.95401
304.112607, C018, 14.21853
903.494724, C018, 12.45852
225.82372, C019, 15.43658
265.542715, C019, 13.88958
321.099347, C019, 14.47704
367.912804, C019, 12.8015
423.219631, C019, 12.3107
444.053368, C019, 16.57756
679.319717, C019, 14.35588
768.1503750000001, C019, 12.40375
787.135555, C019, 16.91584
806.270618, C019, 12.93468
865.3744809999999, C019, 12.6344
922.230099, C019, 12.13954
948.059936, C019, 22.76162
455.14471, C020, 9.887898
29.377068, C021, 17.09968
920.431503, C022, 11.66204
95.625354, C023, 8.802834
98.12340399999999, C023, 8.698347
170.816659, C023, 8.426266
220.377971, C023, 8.312511
547.472638, C023, 8.654834
581.346196, C023, 10.99557
719.3884389999999, C023, 8.988906
749.6148439999999, C023, 14.02378
914.536105, C023, 9.094604
951.207479, C023, 16.1594
25.829837, C024, 8.304555
66.048441, C024, 6.285123
759.607044, C024, 6.576569
913.886612, C024, 7.530002
485.720842, C025, 11.74492
2.348167, C026, 5.910918
5.545671, C026, 5.728492
10.042161, C026, 6.070724
130.39821, C026, 5.460958
200.84322, C026, 5.395252
225.074305, C026, 5.772986
373.008826, C026, 5.654586
434.510817, C026, 6.355844
483.972207, C026, 5.949862
601.880167, C026, 6.467693
706.398579, C026, 5.652235
944.063056, C026, 5.619713
0.399688, C027, 5.039756
2.398128, C027, 5.629843
6.944579, C027, 6.292944
8.443409000000001, C027, 5.592442
19.035141, C027, 5.935319
37.420789, C027, 5.170504
106.017242, C027, 4.914155
115.110144, C027, 5.207622
133.295948, C027, 5.839613
154.129685, C027, 5.542095
165.320949, C027, 5.139758
170.267088, C027, 4.841223
188.203087, C027, 5.171231
210.785459, C027, 5.132012
280.580976, C027, 5.161802
293.370992, C027, 5.490599
302.563816, C027, 5.228984
304.712139, C027, 5.230015
372.509216, C027, 4.855096
377.255511, C027, 5.799672
380.20321, C027, 7.16297
395.641159, C027, 4.952785
396.590418, C027, 5.738911
397.289872, C027, 4.935866
400.587298, C027, 6.021121
415.67552, C027, 4.901282
418.373414, C027, 5.403461
431.363274, C027, 4.752646
456.293813, C027, 7.712755
475.12911, C027, 5.180058
536.08153, C027, 4.846622
577.699043, C027, 5.163803
604.777905, C027, 5.165548
605.377437, C027, 4.77136
777.543043, C027, 4.932946
930.373742, C027, 5.078762
66.148364, C028, 9.062998
68.546492, C028, 8.810219
73.492631, C028, 9.698601
76.490291, C028, 9.090828
130.448171, C029, 12.9776
396.490496, C029, 13.41339
472.031528, C029, 13.9608
534.083089, C029, 17.38626
586.192413, C029, 19.59329
587.091711, C029, 12.70655
725.733486, C029, 11.49676
751.713206, C029, 11.90367
813.514963, C029, 14.61854
33.224065, C030, 12.72681
68.596453, C030, 10.17091
69.295907, C030, 11.69612
69.695595, C030, 9.30822
73.492631, C030, 10.41198
75.49107100000001, C030, 12.65878
81.836118, C030, 11.45665
177.911121, C030, 12.14485
444.003407, C030, 12.00071
453.995607, C030, 17.65181
500.459337, C030, 11.7403
501.758323, C030, 12.82515
513.449197, C030, 14.75567
651.241635, C030, 16.12618
652.590582, C030, 13.38601
653.389958, C030, 16.90787
799.176156, C030, 16.04235
808.818629, C030, 11.25179
872.0192939999999, C030, 10.64131
877.664887, C030, 14.70938
884.209778, C030, 12.26621
1.348947, C031, 5.675645
82.735416, C031, 6.079245
83.93447999999999, C031, 5.858244
346.079847, C031, 5.487944
508.353175, C031, 5.445908
540.2782539999999, C031, 5.482465
567.107311, C031, 5.788009
598.832546, C031, 5.36945
657.736565, C031, 15.81885
659.135473, C031, 9.252414
817.661726, C031, 5.58837
844.0411340000001, C031, 5.813383
857.480643, C031, 5.916304
906.442423, C031, 5.325115
55.906359, C032, 7.688587
59.703395, C032, 7.261684
66.498091, C032, 9.489923
67.097623, C032, 7.61105
68.696375, C032, 9.333779
212.634016, C032, 7.340754
269.939283, C032, 8.998487
319.650478, C032, 6.992164
712.94347, C032, 9.952509
952.156738, C032, 8.572817
524.5905, C033, 21.62033
419.572478, C034, 11.2457
428.215731, C034, 11.41286
611.272835, C034, 12.02675
611.972289, C034, 14.61333
613.3711970000001, C034, 16.71798
615.919208, C034, 18.81241
636.9527890000001, C034, 21.05966
971.5915670000001, C034, 13.20452
50.110883, C036, 4.46329
104.9181, C036, 4.74543
114.760417, C036, 4.943245
183.85648, C036, 4.733099
214.632456, C036, 4.499052
245.608276, C036, 5.92781
247.30695, C036, 4.63631
255.750359, C036, 4.535667
258.598136, C036, 4.416562
284.527895, C036, 4.398994
375.556837, C036, 5.214262
443.553758, C036, 4.524584
466.236052, C036, 5.269016
478.276653, C036, 4.55283
504.206412, C036, 5.292856
533.283714, C036, 4.543216
584.5436999999999, C036, 5.663581
601.230674, C036, 4.695374
602.429738, C036, 4.592167
612.421938, C036, 4.869962
628.8091460000001, C036, 4.888661
673.97389, C036, 4.656632
688.912229, C036, 4.511355
734.876349, C036, 4.542264
740.971591, C036, 5.690749
807.069994, C036, 5.044335
823.806929, C036, 5.201188
826.604745, C036, 4.724639
843.441602, C036, 4.54104
883.410402, C036, 4.57969
886.008374, C036, 4.632662
891.2043179999999, C036, 5.022969
895.500964, C036, 4.573901
896.849911, C036, 4.508229
921.530645, C036, 5.632164
934.77031, C036, 4.412854
959.650888, C036, 7.823166
960.100537, C036, 6.96636
960.5501860000001, C036, 7.496612
960.899913, C036, 7.72297
961.599367, C036, 4.477982
962.348782, C036, 5.165493
967.494765, C036, 4.570499
970.692269, C036, 4.434242
219.32879, C039, 6.652238
296.218769, C039, 6.623616
399.688, C039, 5.83306
419.022907, C039, 5.85723
648.843507, C039, 7.510104
649.293156, C039, 5.841951
649.642883, C039, 10.95564
649.842727, C039, 12.48846
650.192454, C039, 8.15765
782.738987, C039, 6.353673
843.141836, C039, 5.92431
913.037275, C039, 8.282971
913.237119, C039, 16.03534
914.0364949999999, C039, 7.667465
58.654214, C040, 24.33927
60.153044, C040, 8.192986
66.398168, C040, 15.59447
116.608974, C040, 7.330174
124.40289, C040, 18.90571
129.798678, C040, 6.791399
184.206207, C040, 22.88635
204.290529, C040, 8.513987
224.424812, C040, 16.88221
245.058705, C040, 8.802315
245.80812, C040, 14.7447
264.84326, C040, 8.319702
265.093066, C040, 18.30878
305.111827, C040, 12.49169
311.007225, C040, 10.38273
321.199269, C040, 7.786831
352.674699, C040, 11.31624
358.71998, C040, 7.353341
358.969785, C040, 7.589418
373.908124, C040, 9.49157
374.107968, C040, 7.876386
431.263352, C040, 8.793633
431.463196, C040, 12.33052
431.862884, C040, 10.28809
433.961246, C040, 17.38931
449.199351, C040, 17.67903
467.63496, C040, 17.22094
489.268073, C040, 11.12154
508.203292, C040, 19.18251
514.198612, C040, 6.839742
532.334455, C040, 7.320552
547.472638, C040, 14.33951
548.771624, C040, 11.42641
569.8551660000001, C040, 9.839096
570.354776, C040, 7.246067
582.695143, C040, 12.27522
610.02381, C040, 6.958303
665.430559, C040, 14.41046
670.326737, C040, 21.31528
697.105833, C040, 12.90256
701.95205, C040, 10.84034
723.085553, C040, 18.56149
723.585163, C040, 11.7398
762.754587, C040, 16.2996
853.134036, C040, 7.77308
30.176444, C041, 16.35422
30.775976, C041, 16.03716
87.93136, C041, 13.31814
96.174925, C041, 16.36359
101.470791, C041, 23.41197
427.416355, C041, 17.56218
440.15641, C041, 13.26928
564.009729, C041, 12.73991
749.864649, C041, 20.07638
869.671127, C041, 12.75779
887.007594, C041, 13.92494
888.156697, C041, 17.88606
898.4986239999999, C041, 18.59923
900.047415, C041, 18.56849
901.895972, C041, 16.26832
904.3940219999999, C041, 12.97501
906.892072, C041, 26.42656
219.428712, C042, 13.35647
605.477359, C042, 9.890661
753.711646, C042, 14.49839
444.503017, C043, 8.366806
576.200213, C043, 7.142445
595.934808, C043, 6.056787
666.130013, C043, 6.199092
863.2261580000001, C043, 5.807021
868.621946, C043, 6.880191
891.154357, C043, 8.717405
897.999014, C043, 6.275989
900.347181, C043, 6.032007
901.096596, C043, 7.481545
902.9951139999999, C043, 9.148242
905.643047, C043, 10.52675
906.242579, C043, 11.37648
964.047456, C043, 7.250653
31.625313, C044, 13.32694
574.001929, C044, 13.9988
590.5390200000001, C044, 13.49215
907.191838, C044, 15.5813
10.691654, C045, 8.13574
377.105628, C045, 6.297611
443.15407, C045, 8.771515
456.593579, C045, 6.362043
822.507943, C045, 6.684197
887.407282, C045, 11.83809
905.742969, C045, 6.2772
909.140317, C045, 6.178536
21.283386, C046, 4.139703
23.431709, C046, 3.685654
30.376288, C046, 3.885658
31.925079, C046, 4.721992
32.97426, C046, 3.703139
45.364588, C046, 4.669739
46.213925, C046, 4.191368
49.361468, C046, 5.414404
53.608153, C046, 3.763221
56.306047, C046, 3.807709
57.205345, C046, 3.717104
61.551952, C046, 3.945925
62.95086, C046, 4.717575
67.047662, C046, 4.032765
68.496531, C046, 4.623128
68.746336, C046, 4.801358
69.295907, C046, 4.31047
73.342748, C046, 4.355309
79.388029, C046, 3.709279
80.187405, C046, 3.969743
83.78459700000001, C046, 4.611104
85.083583, C046, 3.859884
85.383349, C046, 4.60992
86.832218, C046, 3.632477
88.830658, C046, 5.136701
93.32714799999999, C046, 5.062206
96.12496400000001, C046, 3.639409
99.42238999999999, C046, 3.643164
103.818958, C046, 4.185609
105.967281, C046, 4.953624
118.357609, C046, 4.938432
124.502812, C046, 4.863483
129.848638, C046, 4.27227
134.39509, C046, 3.80318
143.38807, C046, 4.767997
148.88378, C046, 3.865
154.829139, C046, 3.729486
158.826019, C046, 4.156698
163.422431, C046, 4.082055
163.87208, C046, 4.98911
164.621495, C046, 5.943491
165.420871, C046, 4.465729
177.261628, C046, 4.023542
181.008703, C046, 4.403503
190.301449, C046, 4.507144
191.85024, C046, 3.786657
192.999343, C046, 4.035837
197.545794, C046, 4.886228
199.494273, C046, 4.069749
202.491933, C046, 4.57063
206.788579, C046, 3.746885
208.587175, C046, 5.051998
210.086005, C046, 4.496082
212.084445, C046, 4.392905
212.434172, C046, 4.220845
213.733158, C046, 3.847699
215.631676, C046, 3.922632
220.427932, C046, 4.165524
221.427152, C046, 4.040979
224.774539, C046, 4.037434
227.772199, C046, 4.491878
228.621536, C046, 4.206524
234.167207, C046, 4.5994
236.115686, C046, 5.22207
244.359251, C046, 4.476697
