Time (s), Cell Name, Value
10.591732, C000, 21.62439
77.28966699999999, C000, 6.323586
83.834558, C000, 6.56588
147.434911, C000, 6.665158
233.018104, C000, 7.369412
304.562256, C000, 8.771609
350.826142, C000, 6.805121
392.043967, C000, 7.042464
402.136089, C000, 10.76612
406.932345, C000, 6.665821
411.828523, C000, 6.792814
446.65134, C000, 6.596692
464.037768, C000, 8.117912
478.076809, C000, 17.25124
515.59752, C000, 6.332104
587.641282, C000, 5.970838
645.196354, C000, 9.390055
648.99339, C000, 5.926956
685.46492, C000, 5.88711
701.852128, C000, 6.256002
714.642144, C000, 23.76054
734.376739, C000, 7.306148
823.407241, C000, 6.256784
856.631306, C000, 5.935658
870.020854, C000, 8.152253
917.084116, C000, 11.8246
926.27694, C000, 8.062043
957.602487, C000, 10.728
969.842932, C000, 6.266782
3.397348, C001, 12.69958
39.069502, C001, 11.0239
230.520054, C001, 15.76671
263.993924, C001, 12.48136
411.828523, C001, 16.33702
422.769982, C001, 9.560719
446.701301, C001, 12.75311
470.782503, C001, 11.73145
501.708362, C001, 14.28114
534.5827, C001, 19.89726
574.301695, C001, 17.94446
587.591321, C001, 10.56546
701.7022449999999, C001, 13.49647
702.051972, C001, 9.680393
766.052013, C001, 12.77252
767.650765, C001, 10.31194
767.90057, C001, 11.75333
770.098854, C001, 11.83612
4.346607, C002, 6.389665
70.395049, C002, 8.618886
127.500472, C002, 7.40901
144.737017, C002, 6.403862
147.38495, C002, 6.82911
160.274888, C002, 6.507041
203.940802, C002, 6.561695
233.018104, C002, 7.183862
240.012644, C002, 9.345219
259.047784, C002, 6.683509
304.412373, C002, 7.146638
335.388193, C002, 7.605244
367.113428, C002, 6.492569
402.335933, C002, 9.543947
463.887885, C002, 12.06004
478.176731, C002, 8.198356
515.497598, C002, 11.38563
556.365696, C002, 8.06151
563.360236, C002, 6.279538
577.798965, C002, 7.109569
645.196354, C002, 7.262428
656.8872280000001, C002, 6.242447
682.46726, C002, 6.221406
711.844328, C002, 7.241814
788.984112, C002, 8.298379
887.30736, C002, 6.14094
904.743749, C002, 6.25634
913.686768, C002, 6.499753
917.233999, C002, 10.8
919.78201, C002, 6.180931
926.127057, C002, 9.426397
957.402643, C002, 7.784841
957.652448, C002, 8.268049
957.952214, C002, 6.298454
960.5501860000001, C002, 7.392571
4.9961, C003, 7.062242
55.007061, C003, 8.456726
65.94852, C003, 7.43437
325.645798, C003, 7.006368
354.273451, C003, 10.00876
504.156451, C003, 7.198298
586.592101, C003, 7.379249
778.3424189999999, C003, 10.43325
943.26368, C003, 7.587119
968.5939069999999, C003, 7.652318
10.591732, C004, 6.431027
15.937559, C004, 7.758904
34.622973, C004, 5.948934
37.870438, C004, 12.46853
58.604253, C004, 6.295501
61.252186, C004, 9.38113
61.501991, C004, 13.10603
110.363849, C004, 6.297328
110.763537, C004, 6.889934
127.350589, C004, 6.962848
187.403711, C004, 8.456937
198.245248, C004, 9.663497
200.693337, C004, 6.438109
209.686317, C004, 9.369292
215.381871, C004, 6.171272
219.778439, C004, 7.04529
233.867441, C004, 6.369296
234.067285, C004, 6.30475
255.350671, C004, 6.756231
255.750359, C004, 8.153277
269.839361, C004, 6.099512
285.577076, C004, 5.788116
285.726959, C004, 5.93981
295.76912, C004, 7.081089
309.008785, C004, 9.731494
335.488115, C004, 7.882432
346.029886, C004, 7.152625
402.18605, C004, 6.430072
406.033047, C004, 6.160884
463.787963, C004, 5.909445
473.930046, C004, 9.245443
477.976887, C004, 7.362017
504.056529, C004, 9.816854
504.456217, C004, 7.685081
504.656061, C004, 7.50822
550.07061, C004, 5.841478
586.192413, C004, 6.7888
628.159653, C004, 5.993723
628.609302, C004, 6.583686
631.756845, C004, 7.209265
631.906728, C004, 10.99174
644.4969, C004, 6.38552
657.786526, C004, 6.22367
721.886489, C004, 6.721584
722.43606, C004, 8.157539
723.485241, C004, 6.118441
759.856849, C004, 6.154011
767.450921, C004, 14.25256
837.84597, C004, 6.386707
857.430682, C004, 6.078686
893.652407, C004, 6.13953
925.977174, C004, 5.90184
